event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
118229,0.898,0.107,8.39252,37406,37406,37403
136454,1.204,0.138,8.72464,43294,43294,43291
94029,0.517,0.071,7.28169,27400,27400,27400
115488,0.801,0.098,8.17347,34406,34406,34405
109352,0.71,0.088,8.06818,32698,32698,32698
104401,0.666,0.083,8.0241,30623,30623,30623
126386,1,0.117,8.54701,38535,38535,38534
115296,0.827,0.098,8.43878,35295,35295,35295
114547,0.817,0.102,8.0098,35377,35377,35377
131077,1.029,0.119,8.64706,38554,38554,38550
112926,0.782,0.096,8.14583,35284,35284,35278
118127,0.834,0.1,8.34,35736,35737,35734
135695,1.158,0.131,8.83969,42484,42484,42481
118977,0.84,0.1,8.4,35813,35812,35810
97502,0.56,0.072,7.77778,27405,27405,27403
112212,0.771,0.094,8.20213,33357,33357,33357
125675,0.97,0.113,8.58407,37366,37365,37362
122971,0.932,0.112,8.32143,39820,39820,39819
102716,0.626,0.08,7.825,29398,29398,29398
109358,0.708,0.087,8.13793,31753,31753,31753
93289,0.473,0.063,7.50794,23084,23084,23084
106728,0.692,0.087,7.95402,32165,32165,32163
86160,0.422,0.061,6.91803,22924,22924,22923
109236,0.685,0.086,7.96512,30466,30466,30466
117965,0.845,0.1,8.45,37606,37605,37604
113150,0.788,0.095,8.29474,33543,33544,33542
108655,0.667,0.083,8.03614,30102,30102,30102
123211,0.944,0.112,8.42857,38144,38144,38143
126807,1.002,0.117,8.5641,39791,39792,39790
104098,0.634,0.08,7.925,29539,29539,29539
108953,0.69,0.086,8.02326,30071,30071,30070
95323,0.521,0.07,7.44286,26088,26088,26088
115770,0.796,0.097,8.20619,34379,34379,34379
77394,0.343,0.053,6.4717,20487,20487,20487
102265,0.598,0.077,7.76623,29677,29677,29675
122518,0.91,0.109,8.34862,38050,38050,38050
125540,0.977,0.116,8.42241,38531,38531,38529
108745,0.717,0.09,7.96667,31395,31395,31393
123976,0.958,0.116,8.25862,39584,39585,39583
109966,0.68,0.085,8,29803,29803,29803
126238,1.009,0.119,8.47899,39036,39036,39034
96734,0.533,0.071,7.50704,26036,26036,26035
118883,0.876,0.106,8.26415,37036,37036,37034
102268,0.638,0.082,7.78049,30451,30451,30451
113185,0.751,0.093,8.07527,33618,33619,33614
137959,1.202,0.137,8.77372,44662,44662,44662
117745,0.851,0.102,8.34314,34998,34998,34997
123468,0.952,0.113,8.42478,39734,39735,39734
132299,1.12,0.132,8.48485,44462,44462,44458
122004,0.928,0.11,8.43636,37115,37115,37112
105539,0.634,0.083,7.63855,30051,30051,30051
104870,0.639,0.082,7.79268,30473,30473,30473
140102,1.284,0.148,8.67568,46277,46279,46276
112881,0.726,0.09,8.06667,33777,33777,33777
138168,1.194,0.136,8.77941,43551,43551,43551
121418,0.933,0.111,8.40541,38648,38647,38647
132851,1.073,0.124,8.65323,40534,40534,40534
121098,0.855,0.103,8.30097,37000,37000,36998
99528,0.562,0.077,7.2987,27356,27356,27354
135693,1.185,0.135,8.77778,44673,44673,44665
115613,0.85,0.104,8.17308,35375,35374,35367
90482,0.474,0.066,7.18182,24176,24176,24176
117739,0.849,0.103,8.24272,36193,36193,36193
122352,0.934,0.11,8.49091,38568,38568,38564
117842,0.845,0.101,8.36634,35951,35951,35948
128802,1.06,0.124,8.54839,41335,41335,41331
130952,1.084,0.125,8.672,42237,42237,42235
126299,0.999,0.12,8.325,39428,39428,39426
108159,0.683,0.087,7.85057,31208,31208,31208
150405,1.445,0.163,8.86503,48702,48702,48697
129226,1.045,0.121,8.63636,40250,40250,40250
151984,1.512,0.171,8.84211,51617,51617,51615
162614,1.738,0.194,8.95876,56815,56816,56810
148025,1.472,0.166,8.86747,50398,50398,50396
127905,1.019,0.119,8.56303,39879,39879,39879
158747,1.729,0.197,8.77665,56751,56751,56748
126692,1.025,0.119,8.61345,40820,40820,40818
151921,1.559,0.179,8.7095,52373,52373,52368
154304,1.594,0.18,8.85556,51956,51956,51954
