event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
107477,0.663218,0.286958,2.3112,30590,30590,30588
120512,0.8735,0.345988,2.52465,35001,35001,35001
132160,1.05766,0.360015,2.93783,42323,42323,42322
104758,0.630616,0.27899,2.26035,29657,29657,29656
128414,1.0017,0.359556,2.78593,40101,40101,40101
104570,0.659683,0.294357,2.2411,30803,30803,30803
130314,1.01523,0.333844,3.04101,40354,40354,40353
109474,0.710945,0.288614,2.46331,31804,31804,31804
105457,0.628185,0.26554,2.36569,29215,29215,29215
108422,0.693458,0.287945,2.4083,31834,31834,31834
124370,0.938603,0.355701,2.63874,37928,37928,37926
124576,0.959377,0.311609,3.07878,39361,39361,39361
107426,0.68967,0.298794,2.30818,32953,32953,32945
103240,0.62888,0.284782,2.20828,30042,30042,30042
102110,0.610886,0.266962,2.28828,30398,30398,30398
117415,0.813687,0.320346,2.54002,35050,35050,35049
126907,1.01656,0.34728,2.92721,40003,40003,40001
111142,0.733487,0.303631,2.41572,34154,34154,34153
103975,0.62212,0.279678,2.22441,29197,29197,29196
119324,0.885077,0.321679,2.75143,38791,38791,38787
118229,0.870875,0.336841,2.58542,37406,37406,37404
136454,1.18259,0.388136,3.04684,43294,43294,43289
94029,0.512506,0.257097,1.99344,27400,27400,27397
115488,0.782672,0.292496,2.67584,34406,34406,34403
109352,0.689381,0.291497,2.36497,32698,32698,32697
104401,0.646751,0.286259,2.25932,30623,30623,30619
126386,0.99098,0.34596,2.86443,38535,38535,38534
115296,0.811949,0.291215,2.78815,35295,35295,35292
114547,0.808126,0.315211,2.56376,35377,35377,35377
131077,1.03469,0.362471,2.85456,38554,38554,38546
112926,0.778703,0.29863,2.60758,35284,35284,35283
118127,0.823277,0.304114,2.70713,35736,35736,35732
135695,1.15094,0.382691,3.0075,42484,42484,42481
118977,0.840687,0.32081,2.62051,35813,35813,35809
97502,0.532326,0.250292,2.12682,27405,27405,27404
112212,0.763854,0.293676,2.60101,33357,33357,33357
125675,0.953493,0.339381,2.80951,37366,37365,37363
122971,0.942078,0.334921,2.81284,39820,39820,39819
102716,0.618711,0.281877,2.19497,29398,29398,29398
109358,0.698236,0.283404,2.46374,31753,31753,31751
93289,0.45754,0.237606,1.92563,23084,23084,23084
106728,0.68139,0.282125,2.4152,32165,32165,32162
86160,0.405264,0.225467,1.79745,22924,22924,22924
109236,0.671323,0.296248,2.26608,30466,30466,30465
117965,0.828491,0.298372,2.77671,37606,37606,37605
113150,0.784712,0.284833,2.75499,33543,33543,33543
108655,0.657306,0.279891,2.34844,30102,30102,30102
123211,0.934831,0.34267,2.72808,38144,38144,38142
126807,1.002,0.337632,2.96772,39791,39791,39789
104098,0.616846,0.271044,2.27582,29539,29539,29539
108953,0.680434,0.283545,2.39974,30071,30071,30070
95323,0.503477,0.245294,2.05254,26088,26088,26088
115770,0.805177,0.305891,2.63224,34379,34379,34379
77394,0.320818,0.200858,1.59724,20487,20487,20487
102265,0.579523,0.254605,2.27616,29677,29677,29675
122518,0.919942,0.335372,2.74305,38050,38050,38050
125540,0.99604,0.332326,2.99718,38531,38531,38530
108745,0.693868,0.296723,2.33843,31395,31395,31395
123976,0.944744,0.337081,2.80272,39584,39584,39580
109966,0.674768,0.299619,2.25209,29803,29803,29802
126238,1.01039,0.346538,2.91566,39036,39036,39030
96734,0.514972,0.261954,1.96589,26036,26036,26036
118883,0.859755,0.337956,2.54399,37036,37036,37030
102268,0.629861,0.28192,2.23418,30451,30451,30447
113185,0.746508,0.303995,2.45566,33618,33618,33613
137959,1.20696,0.384433,3.13959,44662,44662,44661
117745,0.847943,0.337175,2.51484,34998,34998,34997
123468,0.942928,0.340675,2.76782,39734,39734,39733
132299,1.1353,0.370283,3.06603,44462,44462,44457
122004,0.925149,0.337097,2.74446,37115,37115,37113
105539,0.638843,0.279974,2.28179,30051,30051,30051
104870,0.642865,0.295129,2.17825,30473,30473,30472
140102,1.29139,0.421516,3.06368,46277,46277,46275
112881,0.734306,0.298347,2.46125,33777,33777,33777
138168,1.19204,0.377063,3.16138,43551,43551,43549
121418,0.910173,0.331795,2.74318,38648,38648,38645
132851,1.04967,0.36277,2.8935,40534,40534,40533
121098,0.858758,0.317652,2.70346,37000,37000,37000
99528,0.562491,0.255083,2.20513,27356,27356,27356
135693,1.15565,0.375106,3.08085,44673,44672,44666
115613,0.830774,0.315665,2.63182,35375,35375,35373
90482,0.453512,0.232366,1.95171,24176,24176,24176
117739,0.827202,0.315036,2.62574,36193,36193,36193
122352,0.909991,0.32982,2.75906,38568,38568,38565
117842,0.822776,0.313661,2.62314,35951,35951,35949
128802,1.06037,0.353041,3.00352,41335,41335,41332
130952,1.06084,0.377455,2.81051,42237,42237,42229
126299,0.984194,0.332517,2.95983,39428,39428,39426
108159,0.676173,0.273918,2.46852,31208,31208,31208
150405,1.4425,0.468624,3.07816,48702,48702,48696
129226,1.02083,0.336511,3.03359,40250,40250,40249
151984,1.49527,0.439869,3.39935,51617,51617,51614
162614,1.72604,0.495511,3.48335,56815,56815,56804
148025,1.44738,0.424585,3.40892,50398,50398,50395
127905,0.997195,0.345332,2.88764,39879,39879,39876
